标题,作者,bvid,上传时间,视频时长,弹幕数,点赞数,播放量,收藏量,分区类型,标签,描述
英雄联盟LOL王者教学：猩红收割者吸血鬼,lol超神解说lol,,1970-01-01 08:00:00,,0,0,1049,0,,,
峡谷百万富翁！赢了奖金翻倍，输了就清0！,上单老祖,BV1tpc2eBEz1,2025-01-13 18:10:50,25:18,4044,67715,1429842,7810,电子竞技,"LOL,娱乐,挑战赛,英雄联盟最前线,峡谷百万富翁","这个视频谋划很久了，做出来一期真的不易，感觉大家的建议与参与兄弟们的支持！
制作成本真的很高！如果喜欢请给个三连！这个对我真的很重要！
如果喜欢请给个三连！这个对我真的很重要！
如果喜欢请给个三连！这个对我真的很重要！"
全神觉醒！回来吧孩子们！LPL还有希望！陌生IG剑指世界赛！恐怖状态震撼各大解说：回来了都回来了，IG已有王者之姿，把CFO给叫来！,联盟抗压王,BV1hbozY1EcF,2025-03-24 03:44:25,16:13,1178,6040,291528,547,电子竞技,"英雄联盟,IG,电子竞技,UZI,LPL,电竞赛事,TheShy,JDG,各路解说,LPL激励计划,LPL激励计划第二赛段","全神觉醒！回来吧孩子们！LPL还有希望！
动起你点赞的小手^^给LPL一丝光！！！"
版本T0玩就上分 逆天数值简单上手,n宝QvQ,BV1wJZMYLEv7,2025-03-27 09:18:46,3:58,1,119,2749,6,电子竞技,"精彩集锦,猩红收割者,弗拉基米尔,休闲娱乐,英雄联盟LOL,短视频,LOL吸血鬼,版本T0,数值怪,玩就上分,MVP与躺赢狗",点个赞八 求求辣
【叶音符】24杀不死流打野剑圣，3.0的攻速，直接泉水豪取五杀，一次不死，秀翻全场！,猛干三碗饭,BV18JZNYmEeh,2025-03-27 00:20:15,10:56,18,117,4846,10,电子竞技,"LOL,英雄联盟,剑圣,叶师傅,打野,MOBA,叶音符,国服第一皇子","感谢观看和支持！！！
叶音符直播间  https://www.douyu.com/12313"
TOP100 完美团战配合集锦！精彩操作时刻！- LOL英雄联盟,怎么都能钩中你,BV1854y1G7Ho,2021-06-19 11:33:16,34:50,138,876,17047,119,电子竞技,"英雄联盟,游戏,LOL,打卡挑战,游戏视频,集锦,操作,秀,游戏集锦,团战","与原作者本人合作授权发布 。
已在B站进行过原创登记，可以放心看！
全站唯一官方发布地点。禁止搬运。
原频道：https://www.youtube.com/channel/UCWVz07amFIiK8n1HwiJmU1A
视频收益绝大部分会转给作者。
您的支持就是作者创作前进的动力！
喜欢视频的话不妨点个赞吧！没有关注的铁汁可以关注一下啊！"
英雄联盟LOL王者教学：腕豪瑟提,lol超神解说lol,,1970-01-01 08:00:00,,0,0,24451,0,,,
AJ2W的电脑玩LOL巨卡，青蛙手把手教学：青蛙对着一个弱智儿童都能解决问题，你们还不去他那买电脑吗,电竞撸播人,BV1UJ4m1E7Dw,2024-04-29 19:46:04,13:36,223,1560,286383,2235,电子竞技,"电脑,搞笑,LOL,青蛙,英雄联盟,AJ,电子竞技,直播录像,教程攻略,我的宝藏游戏",AJ2W的电脑玩LOL巨卡，青蛙手把手教学：青蛙对着一个弱智儿童都能解决问题，你们还不去他那买电脑吗
真有城墙这英雄！打团轻松扛20000伤害！五打一都打不死！【有点骚东西】,上海滩许Van强,BV1N1SEYfE91,2024-10-31 20:30:22,13:38,5619,116306,2237295,13524,电子竞技,"搞笑,英雄联盟,BLG,T1,电子竞技,套路,MOBA,全华班,英雄联盟S14,英雄联盟S14征稿活动,对宁谈墙",
单排遇到话痨妹妹塔姆，有点可爱,普通路人zjz,BV1DprfY4EHY,2024-12-18 15:16:08,19:10,617,1889,106103,506,网络游戏,"游戏,搞笑,LOL,英雄联盟,必剪创作",祝大家今天开心平安！
单排遇到话痨妹妹塔姆，有点可爱,普通路人zjz,BV1DprfY4EHY,2024-12-18 15:16:08,19:10,617,1889,106103,506,网络游戏,"游戏,搞笑,LOL,英雄联盟,必剪创作",祝大家今天开心平安！
小超梦：5个人围殴奎桑提大人也打不死！尽显数值魅力！“差点把我打死，还肉啊？”,空白的心丶z,BV1WXAUekE6r,2025-02-23 16:28:08,14:50,334,1867,96072,101,电子竞技,"LOL,英雄联盟,剑魔,小超梦,腕豪",超梦峡谷之巅冲第一：https://www.huya.com/257085
英雄联盟LOL王者教学：疾风剑豪亚索,lol超神解说lol,,1970-01-01 08:00:00,,0,0,2054,0,,,
《lol手游解说》推荐大家从剑圣开始 你的水平无上限,杨逍逍i,BV1HZ421T7Uh,2024-07-03 18:00:00,12:20,571,7403,291441,1214,手机游戏,"游戏解说,MOBA,英雄联盟手游,英雄联盟？英雄联盟启动！",-
